Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1854.0
FDW14,OUT017,1602.0
NCN55,OUT010,1898.0
FDQ58,OUT017,2662.0
FDY38,OUT027,5206.0
FDH56,OUT046,1864.0
FDL48,OUT018,650.0
FDC48,OUT027,2822.0
FDN33,OUT045,1502.0
FDA36,OUT017,3088.0
FDT44,OUT017,2010.0
FDQ56,OUT045,1300.0
NCC54,OUT019,1858.0
FDU11,OUT049,2026.0
DRL59,OUT013,882.0
FDM24,OUT049,2550.0
FDI57,OUT045,3090.0
DRC12,OUT018,2842.0
NCM42,OUT027,3218.0
FDA46,OUT010,1146.0
FDA31,OUT013,2790.0
NCJ31,OUT035,3844.0
FDG52,OUT046,776.0
NCL19,OUT019,418.0
FDS10,OUT035,3040.0
FDX22,OUT010,1450.0
NCF19,OUT035,884.0
NCE06,OUT046,2464.0
DRC27,OUT046,3802.0
FDE21,OUT035,2028.0
NCR42,OUT019,-1326.0
FDX51,OUT018,2922.0
NCR06,OUT018,484.0
FDU31,OUT027,4966.0
FDU59,OUT017,2728.0
FDR03,OUT027,4822.0
FDS49,OUT027,2814.0
FDD48,OUT010,-54.0
NCF18,OUT017,3090.0
NCD43,OUT027,3122.0
NCD54,OUT018,2036.0
FDY19,OUT010,-22.0
NCY54,OUT017,2794.0
NCL19,OUT018,2084.0
FDP23,OUT010,1554.0
FDC26,OUT013,1806.0
FDR14,OUT010,-1038.0
NCS41,OUT035,3028.0
FDF41,OUT035,4032.0
FDU34,OUT046,1972.0
DRH11,OUT046,878.0
FDM03,OUT013,1798.0
FDS31,OUT017,3090.0
FDJ20,OUT017,2080.0
FDV44,OUT027,4534.0
FDG02,OUT049,3090.0
FDA09,OUT013,2894.0
FDT04,OUT013,702.0
FDL58,OUT019,2338.0
FDE52,OUT045,1468.0
FDW12,OUT035,2498.0
FDL51,OUT017,3544.0
NCY42,OUT027,3698.0
FDR07,OUT017,1656.0
FDN40,OUT045,2394.0
FDB35,OUT027,2974.0
FDA22,OUT017,2762.0
NCL06,OUT046,4056.0
FDI35,OUT013,2918.0
NCW42,OUT045,3386.0
